,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
21732,21732,'Helcio Rodrigues,2012-12-07T06:23:56,colegas posicionaram contra fa soubessem tipo trabalho ainda conduzem atendimento popula es isoladas amazonia talvez mudassem opini duvido burocratas brasilia congeneres sudeste largassem confortos prestar tais servi preferido ficar fazendo greve aumento matando trabalho amigos deveriam informar melhor sobre ocorre fronteira norte guerrilheiros cacaraca deixarem poder certeza fas votaram ser respeitadas,0,0,Piloto da FAB ejetou banco antes de caÃƒÂ§a explodir na divisa de SC e RS,FAB;;;;;;;;;;;;;;;;;',2012,7,12,Positive
21734,21734,'Daniel Aires,2012-12-07T11:25:31,opini deveria aposentar ca s bem antigo ano tatarav pe museu deveria modernizar ca,0,0,Piloto da FAB ejetou banco antes de caÃƒÂ§a explodir na divisa de SC e RS,FAB;;;;;;;;;;;;;;;;;',2012,7,12,Positive
21743,21743,'Antonio GonÃƒÂ§alves,2012-12-07T10:13:06,caros carlos rebechi caio nunca sabe ir entrar conflito vivemos barril p lvora cercado argentina chile venezuela per etc soberania ser sustentada hs dia n armadas n soberania n soberania n existe caso conflito armadas entram defender m v filhos enfim todas pessoas voc gosta admira quer v las sempre ntegras compreenderam querem palestra,0,0,Piloto da FAB ejetou banco antes de caÃƒÂ§a explodir na divisa de SC e RS,FAB;;;;;;;;;;;;;;;;;',2012,7,12,Positive
21745,21745,'Digo Sales,2012-12-07T08:52:33,pilotos fab adoram dar razantes ai hora d nisso,0,0,Piloto da FAB ejetou banco antes de caÃƒÂ§a explodir na divisa de SC e RS,FAB;;;;;;;;;;;;;;;;;',2012,7,12,Positive
21748,21748,'Marco Vaz,2012-12-07T10:50:09,primeiro lamentar morte jovem piloto preciso ter equil brio diz pode bem defender m av dito ai abaixo pode bem matar m av acontece atualmente s ria cuidado portanto,0,0,Piloto da FAB ejetou banco antes de caÃƒÂ§a explodir na divisa de SC e RS,FAB;;;;;;;;;;;;;;;;;',2012,7,12,Positive
21749,21749,'Cassio Garrido,2012-12-07T11:24:36,hoje glorioso pa s invadido ter riquezas naturais saqueadas bondosas es europ ias norte americanas s ganhar amos guerra aparecesse aqui armamento s culo xv navios vela canh es arcaicos tudo ai sim sair amos vencedores vamos ter guerrear pedras arco flecha tacapes etc,0,0,Piloto da FAB ejetou banco antes de caÃƒÂ§a explodir na divisa de SC e RS,FAB;;;;;;;;;;;;;;;;;',2012,7,12,Positive
21754,21754,'Andre Martins,2012-12-07T14:41:25,projeto amx transformou embraer maior exportadora brasil tecnologia adquirida usada fam lia erj legacy dando lucros bilion rios todo ano,0,0,Piloto da FAB ejetou banco antes de caÃƒÂ§a explodir na divisa de SC e RS,FAB;;;;;;;;;;;;;;;;;',2012,7,12,Positive
21758,21758,'Gleidson,2013-05-29T18:57:23,rafael tadeu n preciso estudar n todo mundo sabe fabrica embraer m antes ser vendido usado passa vistoria fab agora voc dono verdade inteligente deveria morar l pro lado espanha brasileiro frouxo,1,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21769,21769,'Saraiva Filho,2013-05-29T20:03:06,rafael tadeu coisa descaso governo ffaa outra coisa moderniza aeronave concorde voc n simplesmente n poss vel comparar avi carro duas voc novamente ir nico desconhece completo avia engenharia considerando espirituosidade acredito trata primeira op,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21776,21776,'Rogerio Ferreira,2013-05-29T17:56:23,acrescentando n av pilotou provavelmente p thunderbolt f d cada eua geram sozinhos algo torno riqueza mundial s quase membros onu contribui maior parte recursos otan or amento militar decl nio ltimos anos superior soma maiores or amentos militares mundo maior exemplo todo pib brasileiro boa amig rea americana voa metade outras fica ch n sinta diminu ok complexo tupiniquim,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21777,21777,'Esdras Teles, 29 Mai 2013 19:58:42,calma gurizada fab j est adquirindo aeroboeros pra substituir f,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21781,21781,'Daniel Almeida,2013-05-29T21:26:03,coment rios s show parte s simplesmente fant sticos digamos hil rios,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21784,21784,'Shigueo, 29 Mai 2013 18:19:01,kkkkkkkkkk boa davi f sao velhos avo,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21787,21787,'Tiago Ferrs,2013-05-29T16:45:45,ta igual tanques v proteger brasil kkkkkkkkkkkkkkkkkkkk ainda bem pa s pacifico n,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21792,21792,'Jerson Souza,2013-05-29T19:16:16,n serve isqueiro acender cigarro,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21794,21794,'Elias Costa,2013-05-29T18:47:29,vou empinar pipa bastante cerol ve tal ca intercepta brinquedinho,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21795,21795,'JosÃƒÂ© Oliveira, 29 Mai 2013 20:09:07,capaz vo abater todos so pipa cara ferakkkkkkkkkkkkkk,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21802,21802,'Luiz Peixoto,2013-05-29T21:37:16,vej bem condi es encontra seguran publica brasil grantir seguran evento esportivo governo aciona ate armadas pais normal imaginavel trata brasil tudo possivel ainda jeito encontra seguran puplica,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21803,21803,'Antonio Pontes,2013-05-30T08:48:03,fab continua usando f podem ser derrubados estilingue,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,30,Positive
21805,21805,'Jovano Silva,2013-05-30T05:57:25,bis est equipado chatarras los dilma favor precisamos modernidade pa s caminhando mundo exercito atrasado ca soa antigo africanos estao melhor n s vergonhaaaaaa,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,30,Positive
21806,21806,'Rogerio Ferreira,2013-05-29T17:55:02,n av pilotou provavelmente p thunderbolt f d cada eua geram sozinhos algo torno riqueza mundial s quase membros onu contribui maior parte recursos otan or amento militar decl nio ltimos anos superior soma maiores or amentos militares mundo boa amig rea americana voa metade outras fica ch n sinta diminu ok complexo tupiniquim,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21811,21811,'Rogerio Ferreira,2013-05-29T18:09:15,pergunto voc revolver significa voc capaz atingir cabe diferen capacidade bruta capacidade liquida determinada unidade f rmula vezes leitura vezes reflex resposta,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21813,21813,'Paulo Figueiredo,2013-05-29T17:06:38,ca f modern ssimos kkkkkk j voavam crian ontem j derrubaram sucat agora faltam governo ptinho ta acabando armadas cuidem,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21814,21814,'Carlos Souza,2013-05-29T17:04:31,melhor pedir emprestadoavi es pra cuba venezuela pq fab s lixo ainda dizem quinta economia,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21817,21817,'Rondas Aguiar,2013-05-29T17:17:09,dilma pretende proteger brasileiros turistas avioes enferrujados perigoso despencar cabe pessoas proteger alguma coisa,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21819,21819,'AndrÃƒÂ© Silva,2013-05-29T17:14:26,gaivotas papel fariam melhor,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21826,21826,'Carlos Nascimento,2013-05-29T17:25:55,milicos at s esfor ados despreparo gritante f j anos servi voam puro milagre,0,0,"FAB simula interceptaÃƒÂ§ÃƒÂ£o de aviÃƒÂ£o para Copa das ConfederaÃƒÂ§ÃƒÂµes, no Rio",FAB;;;;;;;;;;;;;;;;;',2013,5,29,Positive
21830,21830,'Descomplicado,2013-12-30T20:28:23,queria cara pra presidente pa s honesto justo humilde bom car ter sim representaria pa s adoro joaquim barbosa,37,8,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21831,21831,'Ana Medeiros,2013-12-30T22:22:14,menos nao camarada cara usou aviao publico coisas particulares s devolveu valor passagem porque descoberto nao quero tipo gente tomando conta dindin voce ja basta corja dilma,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21842,21842,'JoÃƒÂ£o Burim,2014-01-02T12:27:55,sabe pequena verba menor maior salario pago alguns funcion rios p blicos algu m lembra perfurar po artesiano l agreste pode ser al promover extin dessa aberra social denominada carros pipa nordeste favor vamos acordar dar salto definitivo futuro,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2014,2,1,Positive
21844,21844,'Jose Neto,2013-12-30T22:16:57,deu prova honestidade bom representante alagoano gente honesta faz assim percebe cometeu erro corre logo pra reparar feliz ano novo boas festas renan,5,71,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21845,21845,'Jose Neto,2014-01-02T00:03:33,prezado amigo limao voc realmente acredita estat sticas cuidado pois mentira pode tornar verdade apenas sendo repetida in meras vezes j dizia goebels portanto desconfie daquilo dizem publicam agora quanto resolver bala creio rio s paulo podem dizer melhor quanto renan bem atire primeira pedra bala preferir bras lia nunca roubou,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2014,2,1,Positive
21847,21847,'Jony Limao,2014-01-01T22:12:15,jos neto jos neto explica ano macei considerada capital violenta mundo sexta ltimos dois anos primeira brasil voc poder fazer buscas internet pol ticos renan permitem estado t grande prosperidade reina ser tudo resolve bala voc simplesmente alienado pol tico,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2014,1,1,Positive
21849,21849,'Roberto Franchini,2013-12-31T18:44:56,quero ver alguem homem suficiente mulher n sra presidente acabar legisla permite tipo regalias t poucos,3,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21852,21852,'Roberto Silva,2013-12-31T18:31:27,provar realmente pagou dinheiro somente acredito auditoria sr quest efetivamente pagou malfeito sinal segundo malfeito uso aeronaves,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21854,21854,'Wmarc,2013-12-31T16:33:25,todo pol tico quer levar vantagem todos n escapa devolve grana fica porisso vai tentar novo aguardem,2,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21856,21856,'Henrique Paula,2013-12-31T15:49:58,hahahaha vida pol tico facil pego roubando dinheiro pra gastar coisas pessoas s devolver tudo certo,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21859,21859,'Antonio Santos,2013-12-30T16:46:49,presid ncia senado informou meio nota presidente casa pr prio renan calheiros devolveu parte quantia furtada cofres p blicos quanta conveni ncia j pensou todos n s pud ssemos autodeclarar j pagamos todos impostos declara ta tudo maravilha precisar comprovar nada pra receita federal,2,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21872,21872,'Mauro Brum,2013-12-31T07:43:49,honestidade ada facilidade pagar mil coisa t comum povo brasileiro nada dinheiro,2,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21880,21880,'Rita Leopoldo,2013-12-31T06:21:11,congresso presidente desses ser fechado povo n fizermos revolu corrup nunca vai acabar gigante precisa acordar,4,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21883,21883,'Emanuel Oliveira,2013-12-31T01:07:59,roubar bem muiiiiiiiiiiiiiiiiiiiiiiiito acho pouco logo logo vai viajar bem aqui alagoas certamente dois jatinhos pra filho fam lias filho candidato governador,4,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21884,21884,'Rita Leopoldo,2013-12-31T06:16:50,certeza vai ganhar calhorda poder,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21889,21889,'DÃƒÂ©bora Oliveira,2013-12-31T04:59:28,n somente devolu deveria ter postura politico falo postura n implantar cabelos careca sim car cter dar exemplo bem nenhum politico brasileiro t m politico possa dar exemplo demais,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21894,21894,'ClÃƒÂ¡udio Rossi,2013-12-31T04:28:07,imaginem poder cara requisita avi fab envolve v rias pessoas voo possa acontece passa revista aeroporto carrega quer fala trabalho,5,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21895,21895,'DÃƒÂ©bora Oliveira,2013-12-31T04:19:37,globo record ap s desfecho mat rias n faz mat ria cronol gica fatos ser hein,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21903,21903,'Jony Limao,2013-12-31T01:27:04,alagoas macei s orla nico ponto tur stico estado restante s mis ria prova compet ncia honestidade gest desse pol tico alagoano muitos defendem cabra peste mora mis ria defendo padrinho beleza,9,1,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21918,21918,'Jony Limao,2013-12-31T01:15:46,quest n colocar pra partido b n colocar pra presidente b quest cobrar senadores mudan c digo penal s respons veis n s cobramos presidente independente partido n muda c digo penal muda senado antes senado n s n s grande maioria vota n cobra n cobra ent n direito reclamar vai fazer manifesta pau senado,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21920,21920,'Daniel Tamurejo,2013-12-31T01:07:57,cara honesto filho fruta colar colou n colou pago ja pagou deve ganhar bem filho fruta queria ver ganhar salario minimo iria jegue,5,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21921,21921,'Theflash,2013-12-31T01:05:52,algu m conseguir fechar congresso favor engula chave,3,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21923,21923,'RAUL PASSOS,2013-12-31T00:55:49,renan t careca saber usar dinheiro p blico coisas n permitido,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21935,21935,'Marcio Sanchez,2013-12-30T23:48:57,renan mostrou ser honesto parab ns renan renan povo s lamento povo chora barriga cheia dia passa,1,68,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21945,21945,'Betinha Cunha,2013-12-31T00:10:58,ser toma azulzinho pra fazer amor,6,1,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21951,21951,'Elon Araujo,2013-12-31T00:13:47,valorzinho pagou arrumou onde pra n deve ser nada pois certeza saiu bolso povo tambem inescrupulosos n saciam jamais,6,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21953,21953,'Jader Marques,2013-12-31T00:10:28,marcio sanches vc deve ser parente trabalha t honesto quanto safados ladr es,5,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,31,Positive
21955,21955,'Marcio Sanchez,2013-12-30T23:20:16,cara mostrou realmente cara coragem honesto povo contigo valeu renan,3,45,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21966,21966,'RogÃƒÂ©rio Carvalho,2013-12-30T23:52:24,valor voc pagou n nada considerando voc j levou,6,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21974,21974,'Flavio C,2013-12-30T23:36:24,querendo pagar bom mo s trouxa acredita,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21975,21975,'Capixaba,2013-12-30T23:31:10,sujeito raposa n devolveria n pra ganhar honesto ent t d pulsos pra sair algemado congresso hist rico pra monte processo costas entrega renan p ra jogar pra torcida planejado,0,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21977,21977,'Fernandouc,2013-12-30T23:30:32,senhor nunca roubou afinal brasileiro dinheiro tamb m ent at prova contrario cliente inocente,3,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21979,21979,'Gerson,2013-12-30T23:29:27,renan calhorda vc presidente senado deveria ter preocupa es conhecimento relacionamento necess rio emprego armadas usar indevidamente meios voc passa ideia devem servir t pico tipo pa s t pico pa s vc acredita vc n serve serve,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21986,21986,'Jose Martir,2013-12-30T23:24:48,s ainda n consegui ficar rico ser politico,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21990,21990,'Jose Santos,2013-12-30T23:20:12,renan vai atr s felicidade n d bola pros reclam s n gaste graninha pe devolva valor multiplicado dez demonstrar vc respeita povo brasileiro,3,1,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
21994,21994,'Joao Floriano,2013-12-30T23:17:47,senhor mal elemento surrupiador recursos p blicos retrato perfeito governo brasileiro,5,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;',2013,12,30,Positive
21998,21998,'Amarildo Varela,2013-12-30T23:15:59,s queria saber outro desfalque fez devolver valor pol tico assim tira passa outro,3,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22012,22012,'Fabricio Lima,2013-12-30T23:06:08,camarada prefere gastar mil dinheiro p blico pra luxo andar jatinho brincadeira amigo,2,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22016,22016,'JosÃƒÂ© Leone,2013-12-30T22:59:56,calhorda grande dolo alagoano bem estado produziu fernando collor sempre pode surpreender,5,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22019,22019,'Patricia Cunha,2013-12-30T22:59:23,nenhum calheiros pra defender,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22042,22042,'Antonio Brasileiro,2013-12-30T22:34:11,aten ladroagem apanhado roubando s fazer renan calheiros basta devolver fica tudo certo,3,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22046,22046,'Antonio Brasileiro,2013-12-30T22:29:43,aten ladroagem apanhado roubando basta devolver fica tudo certo,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22047,22047,'Adriano Ferreira,2013-12-30T22:02:02,pol tico exemplar usou devolveu necess rio n sei porque tanta gente ficou revoltada renan timo substituto dilma j vem fazendo bom trabalho,0,21,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22056,22056,'JoÃƒÂ£o Melo,2013-12-30T22:23:58,s inocentes acreditam dinheiro sair bolso nobre presidente senado claro vai aparecer algumas notas pedindo reembolso pagar conta ser sempre mesmos n s,2,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22060,22060,'Samuel Araujo,2013-12-30T22:15:52,puni nesse calhorda nao vei ter nao basta apenas devolver dinheiro provavelmente nao vem bolso vai saber maracutaias bandido nao faz rolar puni multa justa causa cara trabalho apronto umas dessas m nimo ganho avertencia formal nao logo demissao justa causa brazileiros sao trouxas tzi tzi tziii,7,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22061,22061,'Luiz Santos,2013-12-30T22:15:34,vai salvar brasil cultura famigerada corrup pol tica caminho socialismo moderno coitada condi pol tica pa s pois enquanto fuzis n soarem novamente trombetas pa s ser sempre so pol ticos picaretas,1,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22063,22063,'Kalango Cerrado,2013-12-30T22:12:43,pra nascer coreia norte fuzilado antes nascer roubando comida m,5,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22072,22072,'Andrei Curkarevicz,2013-12-30T22:05:00,voc s entenderam n s pagar tudo imposto apenas pessoa apenas ida ali mil reais imaginem n s pagar v rios disso v rias vezes n s precisamos pagar tudo imposto realmente pa s futuro futuro lixo porque enquanto n s deixarmos vai ser balaio sempre louco ver nascer algum bin laden brasileiro alvos tipo gente,6,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22082,22082,'Artur Intaschi,2013-12-30T22:01:57,n problema devolver sim ter feito uso avi forma t descarada descoberto devolve dinheiro n ficado quieto continuaria fazer uso avi es fab implantar cabelo outras coisas j usou dinheiro p blico at pagar pens amante agora amigo aliado nine dedos nada vai acontecer brasil j passou fundo po,3,1,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22083,22083,'Paulo Herrmann,2013-12-30T22:01:32,s devolveu porque descoberto pura pilantragem segunda vez faz menos gente sabe acham s duas deveria ser cassado espero n reeleito,7,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
22084,22084,'Ananias Rodrigues,2013-12-30T22:00:30,pode mo decente casamento marcado ser representada cafetina dona prost bulo delegado ser representado dono boca fumo resposta negativa expliquem congresso nacional representando fam lias favor n confiscar,5,0,Renan devolve R$ 27 mil ÃƒÂ  UniÃƒÂ£o por voo da FAB para implante capilar,FAB;;;;;;;;;;;;;;;;;',2013,12,30,Positive
