,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
186,186,'Milton L,2018-04-13T19:07:33,to fazendo mestrado ainda perdeu nasa,0,1,Nasa seleciona pesquisadores brasileiros para estÃƒÂ¡gio ,NASA;;;;;;;;;;;;;;;;;',2018,4,13,Negative
189,189,'Geraldo Silva,2011-11-15T13:49:10,sugiro pessoas leiam estude livro herc lubus planeta vermelho vm rabol leitor receber informa es exatas sobre planeta herc lubus aproxima planeta formas escapar problemas est vir leiam,0,0,Nasa treinarÃƒÂ¡ nova geraÃƒÂ§ÃƒÂ£o de astronautas,NASA;;;;;;;;;;;;;;;;;',2011,11,15,Negative
190,190,'Denis Cardoso,2011-11-15T13:21:56,sergio ir marte fazer explorar planeta oras ficarmos apenas terra fadados extin,0,0,Nasa treinarÃƒÂ¡ nova geraÃƒÂ§ÃƒÂ£o de astronautas,NASA;;;;;;;;;;;;;;;;;',2011,11,15,Negative
199,199,'Nelson Moreira,2012-04-23T21:27:00,herc lubus vem bicho vai pegar,0,0,Nasa convoca astrÃƒÂ´nomos amadores para caÃƒÂ§ar asteroides,NASA;;;;;;;;;;;;;;;;;',2012,4,23,Negative
203,203,'Charmes Ozero,2018-08-11T17:35:17,nasa piada ainda humanos manipulados nessa far mentira verdade dia ir aparecer mentes desses manipulados mentira,3,25,Nasa adia lanÃƒÂ§amento da sonda solar Parker,NASA;;;;;;;;;;;;;;;;;',2018,11,8,Negative
204,204,'Angelo,2018-08-11T21:46:22,estudo faz muita falta n charmes,13,0,Nasa adia lanÃƒÂ§amento da sonda solar Parker,NASA;;;;;;;;;;;;;;;;;',2018,11,8,Negative
205,205,'Waldyr Filho,2018-08-11T17:42:56,calor pessoal fazendo churrasco perto ent aqueceu pouquinho cientistas decidiram ir lan la dois baldes gelo evitar imprevistos temperatura durante miss,2,6,Nasa adia lanÃƒÂ§amento da sonda solar Parker,NASA;;;;;;;;;;;;;;;;;',2018,11,8,Negative
207,207,'Antonio Pires,2018-08-11T16:58:05,realmente desafio construtores dessa nave,9,0,Nasa adia lanÃƒÂ§amento da sonda solar Parker,NASA;;;;;;;;;;;;;;;;;',2018,11,8,Negative
212,212,'Gabriel Lima,2012-01-24T22:10:16,neto golias daqui alguns milhoes anos nao vamos precisar preocupar sol kkkkkkkkk obviamente nao vo ter milhao anos falar sol menor problemas ashuashua,0,0,Nasa registra tempestade solar em vÃƒÂ­deo,NASA;;;;;;;;;;;;;;;;;',2012,1,24,Negative
215,215,'Diogo Bernardes,2012-01-26T00:59:16,agora resolveram divulgar fatos ser mostrados desde caso roswell esconderam tanto agora preste acontecer coisas piores inevitaveis resolvem mostar humanidade deus misericordia n s pois muitos brincaram sombaram religiosos etc agora vao implorar misericordia deus sei ainda tempo dezembro proximo tempestade escala dezembro sera elevada algo humanidade cientista nasa jugam deuses nao imaginam deus proteja nova chance recontruirmos,0,0,Nasa registra tempestade solar em vÃƒÂ­deo,NASA;;;;;;;;;;;;;;;;;',2012,1,26,Negative
225,225,'Pedro Belmonte,2012-10-11T12:28:31,deus criou surgiu acaso n sabemos ningu m sabe ci ncia ainda n respostas pra tudo cabe n s apreciarmos maravilha natureza ainda t distante n percamos tempo discutindo coisas t f teis exist ncia n ser supremo pra gerar tanto atrito desnecess rio,0,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,11,10,Negative
226,226,'Renato Klehm,2012-10-11T11:46:56,idiotas s voc s acreditam deus cada opiniao quer voc s s burros pra acredita posso fazer nada n acredita sim motivos explicar deus nao existi religiosos burros n querem ouvir ent otou ai,0,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,11,10,Negative
233,233,'RODRIGO MAZZUCA, 11 Out 2012 12:25:54,diogo problema religioso quer impor cren caminh ateus querem ofender pessoas vez disseram crentes pior ra existia hoje est claro ateus s vzs ignorantes agressivos irracionais desesperados auto afirmar atacando cren outros s porque vida n menor significado,0,0,Nasa divulga novas imagens de nebulosas planetÃƒÂ¡rias,NASA;;;;;;;;;;;;;;;;;',2012,10,11,Negative
239,239,'Francisco Paula,2014-02-26T21:54:34,achar vida agora s quest tempo,45,2,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,26,Negative
244,244,'Carlos Santos,2014-05-20T16:08:51,assim chupa b blia t louco cara leia primeiro pra vc questionar,1,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,5,20,Negative
245,245,'Bruno Franco,2014-03-01T17:40:48,pena gente pode ir at l tantos planetas at agora homem n nenhum,23,3,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,1,3,Negative
252,252,'Leandro Mota,2014-02-27T16:51:08,disse maldita inclus digital maioria planetas descobertos astr nomos cop rnico at hubble alias hoje planetas s catalogados letras n meros maldita inclus digital algu m qi ameba pode postar coisas ha j sei crist ser falta estudo gente ver aqui,2,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
253,253,'Guilherme,2014-02-27T17:58:30,leandro mota nome letra n mero tempor rio n oficial hora v ter bolar nomes planetas c u estar cheio deuses,0,0,Nasa anuncia descoberta de 715 novos planetas,NASA;;;;;;;;;;;;;;;;;',2014,2,27,Negative
