,Unnamed: 0,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
26997,26997,'Jairo Fernandes,2016-02-04T18:03:57,pt tornou partido igual outros n verdade pt incompar vel nenhum partido jamais causou tanto dano pa s quanto pt partido in teis,15,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27001,27001,'Jairo Fernandes,2016-02-04T18:00:02,play center brasil s divers diversionismo desvio foco nenhuma obra conclu farsa copa ilus transposi s francisco balan maquiados relat rios falhos compras superfaturadas ndices manipulados vamos descendo ladeira fundo po verdade fossa chegamos l pt partido mentirosos,16,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27010,27010,'Milton Neto,2016-02-04T17:57:23,mosquito dengue todo poderio dengue chikungunha zica fichinha frente virus mortadela pois bondem passa m destroem cofres p blicos coitado vai logo abrindo portas,2,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27012,27012,'Maurilio,2016-02-04T17:56:32,cambada safados falam fizeram anos outros n fizeram anos ninguem rouba cambada pt pmdb,3,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27013,27013,'Claudio Conte,2016-02-04T17:56:24,bando quadrilheiro instalou neste pais aonde mexer vai cheirar mal,3,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27015,27015,'Jairo Fernandes,2016-02-04T17:54:40,impunidade corrup matam democracia matam sonho democr tico brasil melhor pt partido mentirosos,3,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27018,27018,'Marlon Dias,2016-02-04T17:43:19,n precisamos ca supers nicos agora precisamos atua fronteira detectar reprimir trafico armas drogas escravos min rios,6,3,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27019,27019,'Paulo Garcia,2016-02-04T17:53:34,encobrir sol peneira d ruim vai indo indo verdade vai aparecendo come mel lambuza,1,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27021,27021,'Farles Souza,2016-02-04T17:52:16,china encomendou su r ssia bi t meio caro ai,4,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27024,27024,'Jairo Fernandes,2016-02-04T17:50:24,incompet ncia administrativa desde pt anta assumiu governo brasil virou pa s impunidade corrup pt nunca,11,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27026,27026,'Lucas Doido,2016-02-04T17:49:52,chamar chefe mpf acabar absurdos qualquer dinheiro recebido amizade camaradagem criticar vamos come ar acabando cosme dami,4,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27030,27030,'Marcos Livramento,2016-02-04T17:41:32,cada povo governo pediu problema cultura brasileira lei gerson etc,6,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27032,27032,'Harleen Quinzel,2016-02-04T17:47:33,jeito t daqui pouco pt vai querer roubar at namorado t amarrado nome exu,7,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27035,27035,'Jairo Fernandes,2016-02-04T17:44:46,pode investigar desvio er rio pt partido mentirosos,2,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27037,27037,'Milton Neto,2016-02-04T17:43:26,rei mortadelas n sitio triplex n delegacia paginas policias brahma mentira pernas curta,7,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27039,27039,'Rogerio Alves,2016-02-04T17:20:46,onde pt sujeira,53,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27048,27048,'SebastiÃƒÂ£o Andretta,2016-02-04T17:29:56,tudo disse tudo envolve governo petista ser investigado n possivel bandidos vindo unico objetivo assaltar cofres publicos,13,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27051,27051,'Mauro MendonÃƒÂ§a,2016-02-04T17:29:05,collor s caiu porque marinhos n apoiavam simples assim mesmos colocaram presid ncia tiraram l caras pintadas kkkk apenas massa manobra,11,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27052,27052,'Emanuel Alves,2016-02-04T17:28:20,concordo cleo j perderam m dia podre cabe preconceituosas,0,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27054,27054,'clecio silva,2016-02-04T17:28:14,n acredito militar ajudando pt roubar absurdo,1,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27055,27055,'Lucas Digrassa,2016-02-04T17:17:05,cada hora mentira bando desocupado pq n v plantar algo,2,15,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27061,27061,'Soli Brusch,2016-02-04T17:24:53,li alguns coment rios ladainha mesma amigos s est investigando j investigado voc s j est colocando cara cadeia cruzes,1,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27063,27063,'Soli Brusch,2016-02-04T17:22:41,li alguns coment rios ladainha mesma amigos s investigando cara fez loby voc s colocando cara cadeia cruzes,1,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27066,27066,'Marcos,2016-02-04T17:20:15,trag dia mariana falta fiscaliza sistema sa ca tico matando brasileiros zika dengue chikunguya infla corrup generalizada desemprego impostos alt ssimos incompetentes administrando trilh es bolso m fia pol tica poder assassinatos brasileiros batendo recordes viol ncia verdade brasil idade m dia enquanto civiliza globo n censure novo coment rio,12,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27067,27067,'Wagner Silveira,2016-02-04T17:13:09,envolve gente pt total certeza existe corrup,24,3,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27068,27068,'Ocimar Rocha,2016-02-04T17:19:57,caras roubam todo lado est cheio grana,6,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27070,27070,'Luiz,2016-02-04T17:13:36,p saco,1,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27071,27071,'Ocimar Rocha,2016-02-04T17:18:13,pt rouba,1,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27074,27074,'Antonio Adorno,2016-02-04T17:15:05,petralhas agora neg cio serio pf n jeitinho amea medinhos v todos acadeia come ando pingaiada lider,7,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27083,27083,'Zacarias Tadros,2016-02-04T17:08:38,bem prov vel su cia at saia neg cio partir momento perceberem pa s n s rio disparado gripen ng representou melhor escolha principalmente transfer ncia tecnologia bailar aquisi brasil vai retroceder anos j repor ca compras material feito realmente pena,2,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27087,27087,'Washington Freire,2016-02-04T17:05:33,acredito consertar tudo criar comiss carta branca formada indon sios iranianos chineses japoneses talvez at norte coreanos j passamos fundo po chegamos pr sal pouca vergonha,14,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27088,27088,'Vitor Bruschi,2016-02-04T17:06:56,brincadeira tudo brasil esquema fraudar ganhar grana aeron utica envolvida politico vamos fugir brasil pq pais tomado ladr,9,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27099,27099,'Nina Duarte,2016-02-04T17:06:10,sim concordo todos pt s bandidos corruptos,4,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27100,27100,'GÃƒÂ¼nther Jakobs,2016-02-04T16:19:10,anos atraso,26,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27103,27103,'Thiago Giacomelli,2016-02-04T17:04:28,c pula aeron utica envolvida nisso vai prender chamar ex rcito eua prender acusar envolvidos,2,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27104,27104,'Mario Aquino,2016-02-04T16:58:26,corto dedo fico s pt corrupto neste processo,18,5,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27105,27105,'Anderson Dutra,2016-02-04T17:02:31,sinto m rio pois voc ter cortar,5,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27109,27109,'Comentarista,2016-02-04T17:02:17,mendes raz puxa pena aparece s agora aparecendo granja toda,0,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27115,27115,'Marcelo Lima,2016-02-04T17:00:36,vou investigar compras s ndico apto at l pt deve ter esquema desvio grana,5,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27117,27117,'Pool Beneton,2016-02-04T16:59:58,vendendo almo pra comer janta,3,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27126,27126,'Andrea Dias,2016-02-04T16:38:09,p deprimente nisso vou fugir daqui,25,0,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27127,27127,'Adolfo,2016-02-04T16:34:57,brasil precisa hospitais n golpe baixo nivel pt,25,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27128,27128,'Cassio,2016-02-04T16:30:01,contratou prestadora servi propriedade parentes militares aeron utica u militares n iam salvar todo mal,8,9,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27130,27130,'GÃƒÂ¼nther Jakobs,2016-02-04T16:19:11,anos atraso,37,2,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27131,27131,'Massaranduba,2016-02-04T16:23:09,pa s podre vou embora daqui,13,1,MPF reabre investigaÃƒÂ§ÃƒÂ£o sobre compra de caÃƒÂ§as suecos para a FAB,FAB;;;;;;;;;;;;;;;;;',2016,4,2,Negative
27135,27135,'Alex Italiano,2016-01-19T16:35:57,celso daniel toninho pt eduardo campos acidentes,308,33,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27136,27136,'Herman Sales,2016-01-19T20:18:09,t defendendo eduardo campos pq j choveram acusa es cara t corrupto quanto pt bando troxas lambedores saco,21,29,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27137,27137,'Henrique Freitas,2016-01-19T23:45:51,f cil colocar culpa piloto,21,3,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27138,27138,'Givanildo Araujo,2016-01-19T18:50:35,vergonha tenente desse vende dar laudo vergonhoso deste dec ncia honre profiss homem pa s s faz vergonha at ponto vamos chegar,92,27,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27139,27139,'Luciano Santos,2016-01-19T19:33:34,jean rafaela n existem especialistas comprados inoc ncia m deve ter votado pt maldita inclus digital pt,16,9,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27140,27140,'Kleber Morais,2016-01-19T19:42:44,at parece texto pt pa s vergonha contratar fbi pra investigar,14,4,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27142,27142,'Tommy CachaÃƒÂ§a,2016-01-19T18:15:16,pois segura comandante relat rio baseado meras suposi es pois nada sobrou aeronave tripula morreu hip tese prov vel desorienta espacial coronel preferiu ater fato piloto decidiu interceptar direto final descida echo rwy ndb,8,8,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27145,27145,'Luana,2016-01-20T12:14:21,gente nada haver falar mal mo deu opniao respeitem coisa mal contada ningu m aqui sabe nada ent pra partir pra ofen,8,10,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27147,27147,'Anderson Leite,2016-01-21T14:10:01,v deo divulgado pouco antes queda deixa claro avi n emitia sinal fuma apresentava algo demonstrasse problemas avi nivelado trem pouso levantado velocidade km h demonstra piloto n pretendia pousar momento acreditava bico levando voando normal n,7,0,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,21,Negative
27151,27151,'Paulo Penteado,2016-01-20T21:51:52,defeito aeronave acho improvavel jatinho geralmente avi nervoso,2,1,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27155,27155,'Julio Villela,2016-01-20T08:54:46,muitos idiotas acusando sabotagem pt f cil acusar provas,12,22,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27156,27156,'Claudia Jungbluth,2016-01-20T14:58:12,idiota acredita nesse relat rio forjado,13,8,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27157,27157,'Aparecido Pinto,2016-01-20T09:54:06,t morto n defende n cad caixa preta mist rios mist rios brasil,35,3,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27158,27158,'Jose Baran,2016-01-19T22:03:46,daqui anos livros v contar verdadeira historia sobre morte eduardo campos,33,6,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27164,27164,'Alexandre Fagundes,2016-01-19T22:18:30,natan comum pol ticos campanha solicitar n grava voz ilegal n deixar vazar nenhuma conversa possa vir ser usada contra opini pessoal brincadeira qualquer s gravador dados,7,2,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27168,27168,'Renato Guimaraes,2016-01-20T07:47:58,chamada mat ria t informando acidente cunha,2,0,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27170,27170,'Carlos Teiixeira,2016-01-20T07:19:06,desde q amaldi oado ali bab brahma ajuntamento corruptos tomaram poder assalto pa s entro processo desintegra moral familiar econ mica ainda existe bando bo ais alienados q defende parasitas lesa p trias,11,6,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27171,27171,'Carlos Teiixeira,2016-01-20T07:21:11,ops falha entrou processo,1,2,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27172,27172,'Patrick Gonzaga,2016-01-20T07:18:47,nesse brasil duvido nada,1,0,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27173,27173,'Carlos Teiixeira,2016-01-20T07:17:04,desde q amaldi oado ali bab brahma ajuntamento corruptos tomaram poder assalto pa s entrou processo desintegra moral familiar econ mica ainda existe bando bo ais alienados q defendem parasitas lesa p trias,5,4,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27174,27174,'Rafael Silva,2016-01-19T21:48:19,daqui pouco vao coloca culpa fabricante,14,1,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27176,27176,'George Rocha,2016-01-20T07:11:39,desculpe knots,6,1,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27181,27181,'George Rocha,2016-01-20T06:57:59,bando pedante tentando passar investigadores acidente reo pensar rg militar concedeu certifica iso n merece menor credibilidade,4,4,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27183,27183,'Max Lopez,2016-01-19T16:41:40,pior cego n quer ver pensarmos quatro meses antes acidente governo sancionou decreto torna sigilosa investiga es acidentes reos pa s jamais feito brasil concluam si mesmos fato importante assassinato macabro casa celso daniel n confio nada divulgado governo,613,79,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27185,27185,'Leonidas Santos,2016-01-20T06:40:44,tudo agora culpa pt mulher algum coxinha fica gr vida culpa pt deixem paranoia calera,12,21,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27186,27186,'Jorge Castro,2016-01-20T05:25:34,simples colocar culpa n pode defender aliais algu m lembra alguma investiga feita cenipa culpa acidente n ca sobre piloto,6,3,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27187,27187,'Leonidas Santos,2016-01-20T03:58:36,f cil lucrativo colocar culpa piloto morto qu expor falhas equipamento umas empresas ricas avia mundial,8,6,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27188,27188,'Inaldo Santos,2016-01-20T01:06:14,estranh ssimo aceitaria perdido sustenta inclina aeronave pequena demais fator k h batido montanha fatores ai n ajudam compreender,4,9,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27192,27192,'Henrique A,2016-01-20T01:18:10,teoria conspira hein acidentes acontecem,3,13,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27193,27193,'Paulinha Abreu,2016-01-20T02:55:28,leiam assassinato reputa oes crime estado romeu tuma junior,1,3,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27197,27197,'Aluisio Xavier,2016-01-20T00:55:28,alguem acreditou nesta farsa submarino viva tio san,2,3,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27198,27198,'Lamartine Pontes,2016-01-19T22:09:29,vergonha fab s fez acusar pilotos fab pt,29,10,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27200,27200,'Johnny Camargo,2016-01-20T00:23:51,problema n possam tentar apagar sempre lembraremos ltima frase p blica n vamos desistir brasil,17,5,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27201,27201,'Angelo Barbosa,2016-01-20T00:11:34,voc s duvida culpa iria recair pra cima piloto co piloto,22,2,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27203,27203,'Raimundo Silva,2016-01-20T00:07:40,cherecio poder chegar vice kkkkk,3,2,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27205,27205,'Alexsandro Silva,2016-01-20T00:04:53,culpar defunto mole nao vai falar nada sempre assim todo acidente culpa pioto q arrisca vida todos dias ares qdo telha derruba aviao esquecendo propria familia todo piloto kamikase segundo,8,2,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,20,Negative
27209,27209,'Augusto Filho,2016-01-19T23:57:16,porque mataram celso daniel interessava morte eduardo campos respostas,14,4,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27210,27210,'Cesar Muller,2016-01-19T23:54:30,desorienta acelera nuvem metros solo,4,0,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27216,27216,'Jones Quevedo,2016-01-19T23:24:10,estranho est investiga ter colocado culpa toda tripula nada avi cara cotado pra ganhar elei es coisa errada ai,11,4,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27217,27217,'Elismar Marinho,2016-01-19T23:31:22,f cil culpar pilotos morreram,8,1,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27218,27218,'Luiz CristÃƒÂ³fani,2016-01-19T23:26:15,laudo cenipa ainda falta investiga pf dific l engolir hist ria,7,1,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27220,27220,'Roberto Santos,2016-01-19T22:44:14,avi passou m v rios empres rios pilantras recife inclusive pessoas respondem inqu rito policial pf processos vara justi federal pe,2,0,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27223,27223,'Raphael Santana,2016-01-19T22:26:15,trabalho horas dia cansado nunca causei acidente,9,20,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27227,27227,'Alexandre Fagundes,2016-01-19T22:19:42,usado gravador dados,1,1,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27228,27228,'Irene Mautone,2016-01-19T19:58:41,nica pessoa beneficiou morte eduardo campos marina silva candidata vice passou concorrer presid ncia assim v j n elegeu,16,14,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27230,27230,'Alexandre Santos,2016-01-19T22:12:54,marina destru luciana genro linha auxiliar pt debate tv,9,3,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27231,27231,'Teles Pqd,2016-01-19T22:10:59,pt aprendeu direitinho kgb eliminar concorrentes desafetos parab ns s trouxas acreditam,15,6,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
27233,27233,'Fabiano,2016-01-19T22:02:53,desabamento obra metro sao paulo estacao pinheiro culpa rocha seis vitima fatais,4,1,"Conjunto de fatores motivou queda do aviÃƒÂ£o de Eduardo Campos, diz FAB",FAB;;;;;;;;;;;;;;;;;',2016,1,19,Negative
